active_energy,total_energy,active_power_avg,active_power_peak,active_power_p50,active_power_p95,total_power_avg,total_power_peak,total_power_p50,total_power_p95,active_gpu_util_avg,active_gpu_util_peak,active_gpu_util_p50,active_gpu_util_p95,active_mem_avg,active_mem_peak,active_mem_p50,active_mem_p95,total_mem_avg,total_mem_peak,total_mem_p50,total_mem_p95,total_gpu_util_avg,total_gpu_util_peak,total_gpu_util_p50,total_gpu_util_p95,In Tokens Total,In Tokens Avg,In Tokens P50,In Tokens P95,In Tokens Max,In Tokens Min,Out Tokens Total,Out Tokens Avg,Out Tokens P50,Out Tokens P95,Out Tokens Max,Out Tokens Min,Latency Total (s),Latency Avg (s),Latency P50 (s),Latency P95 (s),Latency Max (s),Latency Min (s),TTFT Avg (s),TTFT P50 (s),TTFT P95 (s),TTFT Max (s),TTFT Min (s),Throughput (in+out) tok/s,Throughput (out) tok/s,Throughput (in) tok/s,Energy/Tok (in+out) J/1000,Energy/Tok (out) J/1000,Energy/Tok (in) J/1000,Model Name,FrameWork,Hardware type,TP Size,PP Size,EP Size,DP Size,Precision,Batch Size
67113.85120481253,67113.85120481253,306.44866666666667,473.709,297.0295,404.86234999999994,306.44866666666667,473.709,297.0295,404.86234999999994,90.26255707762557,99.0,90.0,94.0,74387.25,74387.25,74387.25,74387.25,74387.25,74387.25,74387.25,74387.25,90.26255707762557,99.0,90.0,94.0,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,217.74883890151978,3.3777434997558595,3.0172595977783203,7.433639228343964,18.095505237579346,0.21448969841003418,0.04086251902580261,0.025850415229797363,0.10254969596862792,0.37646961212158203,0.018634557723999023,2631.4353862485777,1016.1707456914281,1615.2646405571495,117.12877527925787,303.31202243780234,190.81505053653888,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,16
44515.07876288533,44515.07876288533,299.75978114478113,448.818,285.009,411.3136,299.75978114478113,448.818,285.009,411.3136,88.56228956228956,98.0,89.0,94.0,74417.25,74417.25,74417.25,74417.25,74417.25,74417.25,74417.25,74417.25,88.56228956228956,98.0,89.0,94.0,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,147.4119815826416,4.479943821668625,3.9906128644943237,9.9693652510643,24.41393733024597,0.1950387954711914,0.04906826877593994,0.03510427474975586,0.13734540939331052,0.4553534984588623,0.02146625518798828,3887.011041085362,1501.0313111892629,2385.9797298960993,77.68883119290554,201.1799103488287,126.56324814167249,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,32
34146.114944063906,34146.114944063906,319.09896728971967,466.235,304.15700000000004,423.4242,319.09896728971967,466.235,304.15700000000004,423.4242,86.05140186915888,98.0,86.0,94.0,74305.80140186916,74307.25,74307.25,74307.25,74305.80140186916,74307.25,74307.25,74307.25,86.05140186915888,98.0,86.0,94.0,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,105.90185546875,6.245481145143509,5.503670811653137,13.850913691520688,33.548832416534424,0.2675201892852783,0.06446483254432678,0.04647970199584961,0.15192699432373047,0.4636211395263672,0.026443958282470703,5410.594530792532,2089.387376836786,3321.2071539557464,59.59265564626365,154.31877319141276,97.08268161805034,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,64
28489.040818054913,28489.040818054913,335.15634117647056,462.642,334.113,427.205,335.15634117647056,462.642,334.113,427.205,82.47647058823529,98.0,83.0,95.0,75453.67352941177,75515.25,75515.25,75515.25,75453.67352941177,75515.25,75515.25,75515.25,82.47647058823529,98.0,83.0,95.0,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,83.6168942451477,9.43301749944687,8.206974744796753,20.79269022941589,47.08312010765076,0.5607764720916748,0.09106387948989868,0.06728434562683105,0.19294462203979476,0.7660624980926514,0.03792762756347656,6852.586491912796,2646.2355723387836,4206.350919574013,49.71978809137809,128.75238766238041,80.99874565155126,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,128
68427.98012933516,68427.98012933516,299.46137417943106,449.422,291.07,405.95959999999997,299.46137417943106,449.422,291.07,405.95959999999997,89.9015317286652,99.0,91.0,94.0,74409.08369803063,74409.25,74409.25,74409.25,74409.08369803063,74409.25,74409.25,74409.25,89.9015317286652,99.0,91.0,94.0,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,226.8621325492859,3.5229410326480863,3.1611398458480835,7.701988267898557,19.454423189163208,0.16285991668701172,0.04279327464103699,0.02453768253326416,0.11061358451843262,0.5359377861022949,0.022234201431274414,2450.4662534600243,983.8221896795026,1466.6440637805217,123.09006027747827,306.58796072141996,205.6586504491238,Qwen/Qwen3-8B,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,16
44995.06628278518,44995.06628278518,298.96649833887045,440.577,284.404,416.623,298.96649833887045,440.577,284.404,416.623,88.19601328903654,99.0,89.0,94.0,74369.09717607974,74369.25,74369.25,74369.25,74369.09717607974,74369.25,74369.25,74369.25,88.19601328903654,99.0,89.0,94.0,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,149.28534603118896,4.544183718919754,4.037993431091309,10.403050923347473,25.45746636390686,0.17771482467651367,0.05110839748382568,0.03506934642791748,0.1529098272323607,0.5734872817993164,0.023514270782470703,3723.8618175146044,1495.0697167113128,2228.7921008032918,80.93831515220802,201.59802449364304,135.23159080680554,Qwen/Qwen3-8B,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,32
33519.59838696003,33519.59838696003,317.721298578199,462.461,309.647,414.631,317.721298578199,462.461,309.647,414.631,85.54028436018957,98.0,86.0,95.0,74345.39218009479,74349.25,74349.25,74349.25,74345.39218009479,74349.25,74349.25,74349.25,85.54028436018957,98.0,86.0,95.0,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,103.82051277160645,6.113419954776764,5.450912117958069,13.815651106834409,33.407718896865845,0.2850522994995117,0.06671065330505371,0.048204898834228516,0.16445589065551758,0.586392879486084,0.02673172950744629,5354.606572045715,2149.787108940576,3204.819463105139,60.295940025255575,150.18279502383612,100.74234771842306,Qwen/Qwen3-8B,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,64
28892.119843106986,28892.119843106986,334.0003063583815,452.748,332.151,418.225,334.0003063583815,452.748,332.151,418.225,82.45086705202313,98.0,83.0,95.0,76251.6661849711,76351.25,76351.25,76351.25,76251.6661849711,76351.25,76351.25,76351.25,82.45086705202313,98.0,83.0,95.0,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,84.84481835365295,9.586301736354828,8.35947573184967,21.2988520026207,47.568137884140015,0.4390578269958496,0.09477377820014954,0.07132542133331299,0.17658801078796382,0.6273360252380371,0.03667712211608887,6552.173848529021,2630.5908166328295,3921.5830318961916,51.971909244001786,129.44962114729464,86.83457211972309,Qwen/Qwen3-8B,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,128
75398.13007153606,75398.13007153606,310.2734403292181,468.961,301.127,415.15999999999997,310.2734403292181,468.961,301.127,415.15999999999997,91.20987654320987,99.0,91.0,95.0,74415.25,74415.25,74415.25,74415.25,74415.25,74415.25,74415.25,74415.25,91.20987654320987,99.0,91.0,95.0,317348,317.348,110.0,1162.1499999999999,4860,13,222718,222.718,198.0,497.04999999999995,1191,11,241.8350372314453,3.7606142563819884,3.306392192840576,8.398734545707699,22.268909692764282,0.19749736785888672,0.040092931985855104,0.025075316429138184,0.10329946279525747,0.37426042556762695,0.018357276916503906,2233.199978724077,920.9500928802571,1312.2498858438198,139.60910346427298,338.53631081248955,237.5881684193253,mistralai/Ministral-8B-Instruct-2410,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,16
51993.85665077591,51993.85665077591,322.932801242236,457.934,313.582,419.28919999999994,322.932801242236,457.934,313.582,419.28919999999994,89.27639751552795,98.0,90.0,94.0,74373.25,74373.25,74373.25,74373.25,74373.25,74373.25,74373.25,74373.25,89.27639751552795,98.0,90.0,94.0,317348,317.348,110.0,1162.1499999999999,4860,13,222718,222.718,198.0,497.04999999999995,1191,11,159.72267150878906,4.873549239873886,4.282293081283569,11.0676087975502,28.497209548950195,0.22743463516235352,0.04941205763816833,0.03553581237792969,0.1405865788459777,0.3894479274749756,0.01972794532775879,3381.2732713419573,1394.4044254715868,1986.8688458703703,96.27315300495849,233.45152457715994,163.83861455177254,mistralai/Ministral-8B-Instruct-2410,vLLM,NVIDIA A100-SXM4-80GB,1,1,1,1,bfloat16,32
