active_energy,total_energy,active_power_avg,active_power_peak,active_power_p50,active_power_p95,total_power_avg,total_power_peak,total_power_p50,total_power_p95,active_gpu_util_avg,active_gpu_util_peak,active_gpu_util_p50,active_gpu_util_p95,active_mem_avg,active_mem_peak,active_mem_p50,active_mem_p95,total_mem_avg,total_mem_peak,total_mem_p50,total_mem_p95,total_gpu_util_avg,total_gpu_util_peak,total_gpu_util_p50,total_gpu_util_p95,In Tokens Total,In Tokens Avg,In Tokens P50,In Tokens P95,In Tokens Max,In Tokens Min,Out Tokens Total,Out Tokens Avg,Out Tokens P50,Out Tokens P95,Out Tokens Max,Out Tokens Min,Latency Total (s),Latency Avg (s),Latency P50 (s),Latency P95 (s),Latency Max (s),Latency Min (s),TTFT Avg (s),TTFT P50 (s),TTFT P95 (s),TTFT Max (s),TTFT Min (s),Throughput (in+out) tok/s,Throughput (out) tok/s,Throughput (in) tok/s,Energy/Tok (in+out) J/1000,Energy/Tok (out) J/1000,Energy/Tok (in) J/1000,Model Name,FrameWork,Hardware type,TP Size,PP Size,EP Size,DP Size,Precision,Batch Size
41236.66158992934,41236.66158992934,1472.7379107142858,1591.0369999999998,1518.516,1554.35325,1472.7379107142858,1591.0369999999998,1518.516,1554.35325,80.25446428571429,90.0,83.125,86.5625,292585.8024553572,297870.8125,297870.8125,297870.8125,292585.8024553572,297870.8125,297870.8125,297870.8125,80.25446428571429,90.0,83.125,86.5625,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,27.311779499053955,1.5346588468551636,1.3796894550323486,3.4237357139587403,7.096879959106445,0.1066901683807373,0.0199016559123992,0.0135165452957153,0.0479092836380004,0.1255280971527099,0.0126080513000488,20979.665569570363,8101.632484535272,12878.033085035093,71.96725537167943,186.3635449447704,117.24220148278852,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,fp8,16.0
57556.69342969608,57556.69342969608,1621.3152957746477,1762.522,1670.135,1726.051,1621.3152957746477,1762.522,1670.135,1726.051,84.52816901408451,93.0,87.0,91.0,291560.0528169014,296750.875,296750.875,296750.875,291560.0528169014,296750.875,296750.875,296750.875,84.52816901408451,93.0,87.0,91.0,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,34.909446716308594,1.9569474914073943,1.7544610500335691,4.352015769481659,9.16866159439087,0.1327817440032959,0.0223883562088012,0.0160911083221435,0.0563552379608154,0.1644818782806396,0.0112905502319335,16413.66603877787,6338.3989382057325,10075.267100572137,100.44938398737868,260.11973349164407,163.64257404909583,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,16.0
29130.954434217456,29130.954434217456,1493.895051282051,1653.39,1595.689,1641.2084,1493.895051282051,1653.39,1595.689,1641.2084,73.76923076923077,90.5,79.25,89.75,288183.625,297662.8125,297662.8125,297662.8125,288183.625,297662.8125,297662.8125,297662.8125,73.76923076923077,90.5,79.25,89.75,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,18.86121225357056,1.876565749168396,1.6756341457366943,4.205922281742096,7.197649002075195,0.1278958320617675,0.0244587085247039,0.0160373449325561,0.0508928298950195,0.2375850677490234,0.0134122371673583,30379.38348270953,11731.483481827212,18647.90000088232,50.8400718233718,131.6534299011048,82.82380526159142,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,fp8,32.0
40599.34061161994,40599.34061161994,1657.11593877551,1893.568,1802.413,1876.7288,1657.11593877551,1893.568,1802.413,1876.7288,75.87755102040816,93.0,82.0,89.8,280241.6887755102,296790.8125,296790.8125,296790.8125,280241.6887755102,296790.8125,296790.8125,296790.8125,75.87755102040816,93.0,82.0,89.8,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,23.821380138397217,2.28154851603508,2.067533850669861,5.113024890422819,9.562220096588137,0.1609728336334228,0.0279687888622283,0.0195890665054321,0.0651526451110839,0.1621980667114257,0.0121104717254638,24053.686086659836,9288.714537716443,14764.971548943387,70.85498682637792,183.48325851502665,115.4301994518965,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,32.0
22935.165281505582,22935.165281505582,1529.0109666666665,1922.357,1623.4305,1777.46555,1529.0109666666665,1922.357,1623.4305,1777.46555,70.24166666666666,90.5,76.0,89.0125,284930.66875,297248.8125,297248.8125,297248.8125,284930.66875,297248.8125,297248.8125,297248.8125,70.24166666666666,90.5,76.0,89.0125,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,14.64687991142273,2.474685657262802,2.235107064247132,5.610687148571015,8.952195405960083,0.1709649562835693,0.0330179018974304,0.0263525247573852,0.0788376331329345,0.2609009742736816,0.0153594017028808,39120.41359423846,15106.971678482674,24013.44191575579,40.02702530141011,103.65239427624886,65.20821922286802,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,fp8,64.0
31564.8525,31564.8525,1706.2082432432433,2153.21,1870.726,2047.8966,1706.2082432432433,2153.21,1870.726,2047.8966,72.26351351351352,93.0,76.25,92.6,278479.4375,296408.75,296408.75,296408.75,278479.4375,296408.75,296408.75,296408.75,72.26351351351352,93.0,76.25,92.6,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,18.12862968444824,2.951121940851212,2.6707018613815308,6.529727268218993,10.708242177963257,0.2049078941345214,0.0400941710472106,0.0298820734024047,0.1053907871246337,0.2476959228515625,0.0143489837646484,31607.02215079967,12205.555734298983,19401.466416500687,55.087771731542496,142.6531048040855,89.7437535894826,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,64.0
20533.6135,20533.6135,1579.508730769231,2386.737,1622.486,2060.6595,1579.508730769231,2386.737,1622.486,2060.6595,67.75,90.5,73.375,89.4375,276913.10096153844,300256.8125,300256.8125,300256.8125,276913.10096153844,300256.8125,300256.8125,300256.8125,67.75,90.5,73.375,89.4375,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,12.571810245513916,3.4177922530174256,3.182794451713562,7.0403586506843565,9.319090604782104,0.2309353351593017,0.051935135602951,0.0492393970489501,0.0986511468887328,0.2690002918243408,0.0191261768341064,45577.52533724923,17600.488368726157,27977.03696852308,35.83577693929409,92.79890405387084,58.380236379868194,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,fp8,128.0
27581.81966340637,27581.81966340637,1723.86371875,2654.2790000000005,1832.8795,2252.5198,1723.86371875,2654.2790000000005,1832.8795,2252.5198,69.2265625,93.0,73.0,92.0875,274242.603515625,300438.75,300438.75,300438.75,274242.603515625,300438.75,300438.75,300438.75,69.2265625,93.0,73.0,92.0875,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,15.531505823135376,3.997399018764496,3.7155855894088745,8.220723783969879,11.16049313545227,0.2708323001861572,0.0631848971843719,0.0594387054443359,0.1225536227226257,0.2947046756744385,0.019350528717041,36892.237399575526,14246.525901590385,22645.711497985143,48.13648299349096,124.6523236923504,78.41937570981165,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,128.0
19100.2355,19100.2355,1591.6862916666669,2586.521,1605.966,2479.57515,1591.6862916666669,2586.521,1605.966,2479.57515,66.73958333333333,89.75,71.125,88.85,297073.40625,321358.75,321358.75,321358.75,297073.40625,321358.75,321358.75,321358.75,66.73958333333333,89.75,71.125,88.85,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,11.653369903564451,4.083818887710572,4.1380380392074585,7.298215448856354,10.045827627182009,0.4399275779724121,0.0790738298892974,0.0802843570709228,0.1305493235588073,0.2100262641906738,0.0298068523406982,49169.63974727492,18987.640642241982,30181.99910503293,33.33420972718642,86.3209449993221,54.304921216187786,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,fp8,256.0
79112.0,79112.0,3767.238095238096,4234.0,4078.0,4201.55,3767.238095238096,4234.0,4078.0,4201.55,81.20535714285714,95.625,91.625,92.85625,1242.5186244419642,1343.2890625,1343.2890625,1343.2890625,1242.5186244419642,1343.2890625,1343.2890625,1343.2890625,81.20535714285714,95.625,91.625,92.85625,351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,20.601670503616333,2.0468680448532104,1.8201570510864256,4.546650528907776,8.98183012008667,0.1527936458587646,0.0439778907299041,0.0300402641296386,0.1141939163208007,0.2561228275299072,0.0278449058532714,27812.89021681127,10740.39117173334,17072.49904507793,138.0682452809114,357.53604193971165,224.9276417170379,meta-llama/Llama-3.1-8B-Instruct,vLLM,AMD Instinct MI300X,1,1,1,8,fp8,16.0
