active_energy,total_energy,active_power_avg,active_power_peak,active_power_p50,active_power_p95,total_power_avg,total_power_peak,total_power_p50,total_power_p95,active_gpu_util_avg,active_gpu_util_peak,active_gpu_util_p50,active_gpu_util_p95,active_mem_util_avg,active_mem_util_peak,active_mem_util_p50,active_mem_util_p95,active_mem_avg,active_mem_peak,active_mem_p50,active_mem_p95,total_mem_avg,total_mem_peak,total_mem_p50,total_mem_p95,total_gpu_util_avg,total_gpu_util_peak,total_gpu_util_p50,total_gpu_util_p95,total_mem_util_avg,total_mem_util_peak,total_mem_util_p50,total_mem_util_p95,In Tokens Total,In Tokens Avg,In Tokens P50,In Tokens P95,In Tokens Max,In Tokens Min,Out Tokens Total,Out Tokens Avg,Out Tokens P50,Out Tokens P95,Out Tokens Max,Out Tokens Min,Latency Total (s),Latency Avg (s),Latency P50 (s),Latency P95 (s),Latency Max (s),Latency Min (s),TTFT Avg (s),TTFT P50 (s),TTFT P95 (s),TTFT Max (s),TTFT Min (s),Throughput (in+out) tok/s,Throughput (out) tok/s,Throughput (in) tok/s,Energy/Tok (in+out) J/1000,Energy/Tok (out) J/1000,Energy/Tok (in) J/1000,Model Name,FrameWork,Hardware type,TP Size,PP Size,EP,Batch Size
61197.71950000001,94211.95101617217,378.93324767801863,458.331,378.786,411.7983,583.35573374613,662.611,583.2900000000001,616.6211,78.46749226006192,87.0,79.0,82.0,61.1764705882353,67.0,62.0,65.0,78133.3125,78133.3125,78133.3125,78133.3125,79583.0625,79583.0625,79583.0625,79583.0625,4.90421826625387,5.4375,4.9375,5.125,3.823529411764706,4.1875,3.875,4.0625,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,160.5726613998413,2.4847896373271943,2.0891772508621216,5.949680316448208,13.632594585418701,0.15860462188720703,0.016913409948348997,0.013355493545532227,0.03658781051635742,0.13898825645446777,0.010256767272949219,3695.7349702406223,1505.3122859944008,2190.4226842462213,158.75725188676782,389.7694405580698,267.85913595445317,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,16
61131.393,94120.5675,378.52255727554177,446.631,379.074,409.2792,582.7898916408669,650.811,582.906,613.8819,78.60990712074303,95.0,79.0,84.0,60.76160990712074,67.0,62.0,65.0,78133.3125,78133.3125,78133.3125,78133.3125,79583.0625,79583.0625,79583.0625,79583.0625,19.652476780185758,23.75,19.75,21.0,15.190402476780186,16.75,15.5,16.25,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,160.78335881233215,2.487655194044113,2.0858341455459595,5.996425962448118,13.625615358352661,0.1583411693572998,0.016942360639572142,0.013356804847717285,0.03673465251922607,0.14305472373962402,0.010255575180053711,3690.891920554177,1503.3396601829206,2187.5522603712566,158.60326085124882,389.39137279075925,267.5993184958575,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,16
39660.833,59290.973,413.13367708333334,476.319,420.41200000000003,458.64494999999994,617.6143020833334,680.6809999999999,624.914,662.8804499999999,75.29166666666667,95.0,76.0,82.0,59.333333333333336,66.0,61.0,64.0,78133.3125,78133.3125,78133.3125,78133.3125,79583.0625,79583.0625,79583.0625,79583.0625,18.822916666666668,23.75,19.0,20.5,14.833333333333334,16.5,15.25,16.0,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,94.86752820014954,2.828435863733292,2.3609944581985474,6.804077911376951,15.58833622932434,0.1823897361755371,0.01916290330886841,0.01471245288848877,0.04655289649963379,0.15366697311401367,0.011074542999267578,6255.396459239301,2547.8897214444237,3707.506737794878,99.91165487653218,245.29594310584497,168.57339887752258,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,32
28706.463,41801.41099999999,448.538484375,531.447,460.1155,509.18379999999996,653.147046875,735.9739999999999,664.9755,713.8467499999999,71.484375,95.0,72.0,80.64999999999999,55.484375,64.0,57.0,63.0,78002.546875,78005.3125,78003.3125,78005.3125,79452.296875,79455.0625,79453.0625,79455.0625,17.87109375,23.75,18.0,20.162499999999998,13.87109375,16.0,14.25,15.75,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,63.24392533302307,3.6076591165065763,2.968810558319092,8.655669641494748,20.1068172454834,0.22533440589904785,0.02385039734840393,0.017903566360473633,0.05090618133544922,0.15410566329956055,0.012117147445678711,9383.256919540636,3821.900660454248,5561.356259086388,70.43986525881563,172.93891490699673,118.84787133019826,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,64
23733.9585,33969.17,474.67917,656.566,498.8415,544.50565,679.3833999999999,861.6700000000001,703.364,749.5148499999999,68.07,95.0,68.0,79.0,51.72,66.0,52.0,63.0,79118.2725,79173.3125,79171.3125,79173.3125,80568.0225,80623.0625,80621.0625,80623.0625,17.0175,23.75,17.0,19.75,12.93,16.5,13.0,15.75,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,48.93616032600403,5.287688528537751,4.461262941360474,12.397490298748016,27.252068281173706,0.3289144039154053,0.03209109568595886,0.024728894233703613,0.05556154251098633,0.2561914920806885,0.015746116638183594,12126.697232611792,4939.333171825446,7187.364060786346,57.24169831859988,140.53572019593565,96.5795997975674,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,128
21080.431500000002,29981.863,484.6076206896552,680.413,508.674,577.5307,689.2382298850574,885.579,712.97,782.6828,65.33333333333333,95.0,63.0,86.7,47.47126436781609,65.0,47.0,64.0,78224.59985632185,81113.3125,78209.3125,78216.7125,79674.34985632185,82563.0625,79659.0625,79666.4625,16.333333333333332,23.75,15.75,21.675,11.867816091954023,16.25,11.75,16.0,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,42.604684352874756,8.512296010494232,7.275438189506531,19.854796254634856,34.082271099090576,0.5631885528564453,0.04758318328857422,0.04005932807922363,0.1097370982170105,0.30159568786621094,0.023088693618774414,13928.8439525772,5673.3667593453365,8255.477193231864,50.52265795353822,124.03961325875422,85.2430698108165,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,1,
89904.2315,89904.2315,467.0349688311688,573.259,464.582,502.945,467.0349688311688,573.259,464.582,502.945,57.17922077922078,86.0,57.0,63.5,25.916883116883117,29.0,26.0,27.0,156486.15746753247,156486.625,156486.625,156486.625,156486.15746753247,156486.625,156486.625,156486.625,57.17922077922078,86.0,57.0,63.5,25.916883116883117,29.0,26.0,27.0,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,191.85784077644348,2.9660084879398347,2.4940356016159058,7.096042764186855,16.20697808265686,0.1925034523010254,0.017037400960922242,0.014174580574035645,0.03079940080642697,0.10947084426879883,0.012241840362548828,3093.0922478768066,1259.8494751207356,1833.2427727560707,151.49828203304833,371.94773738995167,255.61162366869289,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,2,1,1,16
54639.56305893898,54639.56305893898,513.0475399061033,620.3330000000001,513.625,575.3688,513.0475399061033,620.3330000000001,513.625,575.3688,59.97652582159625,93.0,60.0,68.0,27.070422535211268,31.0,27.5,29.0,156358.16490610328,156358.625,156358.625,156358.625,156358.16490610328,156358.625,156358.625,156358.625,59.97652582159625,93.0,60.0,68.0,27.070422535211268,31.0,27.5,29.0,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,105.80435180664062,3.148262377977371,2.66003680229187,7.53786334991455,17.14099359512329,0.21277165412902832,0.01857614827156067,0.015288352966308594,0.03834724426269531,0.38271474838256836,0.012315988540649414,5608.786310458301,2284.51850866903,3324.2678017892717,92.07352975889312,226.0523393912548,155.34872160097743,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,2,1,1,32
38379.1825,38379.1825,568.5804814814815,724.6500000000001,579.649,663.2206,568.5804814814815,724.6500000000001,579.649,663.2206,55.91481481481482,91.5,56.0,66.15,27.037037037037038,30.0,27.5,29.5,156034.78796296296,156036.625,156036.625,156036.625,156034.78796296296,156036.625,156036.625,156036.625,55.91481481481482,91.5,56.0,66.15,27.037037037037038,30.0,27.5,29.5,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,66.72341179847717,3.7505999758243562,3.1687376499176025,9.073499763011931,20.64945101737976,0.23600029945373535,0.021950991153717042,0.017409801483154297,0.0408128261566162,0.26147890090942383,0.013501644134521484,8893.939683305342,3622.5965292367828,5271.34315406856,64.67304283205883,158.78062528960083,109.11794684438279,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,2,1,1,64
30390.7875,30390.7875,626.614175257732,945.5350000000001,665.96,745.7829999999999,626.614175257732,945.5350000000001,665.96,745.7829999999999,54.16494845360825,92.5,56.0,67.6,26.716494845360824,33.0,28.0,31.0,156793.77963917525,156844.625,156844.625,156844.625,156793.77963917525,156844.625,156844.625,156844.625,54.16494845360825,92.5,56.0,67.6,26.716494845360824,33.0,28.0,31.0,351722,351.722,152.0,1250.2499999999998,5135,45,241712,241.712,203.0,572.5499999999995,1317,16,47.56619739532471,4.951799642086029,4.224210262298584,11.557107758522033,25.79906415939331,0.3073863983154297,0.027633798360824587,0.021465778350830078,0.04512137174606323,0.25027894973754883,0.015607595443725586,12475.960503378998,5081.591828565172,7394.368674813825,51.2117396374323,125.73139728271663,86.40570535820903,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,2,1,1,128
