Model Name,FrameWork,Hardware type,Count,Precision,Batch Size,In tokens,Out tokens,TTFT,Latency,Power Avg,Power Avg (Active),Power Peak,Power Peak (Active),Energy,Energy (Active)
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,128,128,25.719988625496622,3.906158783007413,306.258825,144.500125,340.333,178.386,1386.9571290133,578.0006035392285
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,256,256,31.3402209430933,6.431234024930745,352.8760065934066,191.2406923076923,537.42,375.688,2455.5158373405934,1243.0646697180273
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,512,512,48.45446022227407,12.77394501073286,338.31795804387184,176.6986923076923,350.311,188.579,4559.924018283128,2297.0831700561043
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,1024,1024,111.6762519814074,25.644572358112782,352.3746469572356,190.9314230769231,364.847,202.9,9323.244583329675,4964.217506624699
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,2048,2048,177.66701197251678,18.990287414751947,365.0926488206915,203.73879487179488,377.652,215.427,7280.503701108933,3972.907185502768
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,128,128,38.09088980779052,3.4490346210077405,341.1911619047619,179.36742857142855,372.1710000000001,210.216,1355.744684836626,627.7860815932751
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,256,256,48.533766996115446,6.603307561948896,359.1705611344538,197.25707142857144,568.907,406.841,2675.866239110947,1380.7995852024558
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,512,512,99.9606498517096,13.300226890016347,365.39891758803134,203.3067407407408,556.734,394.456,5094.6438540692325,2744.641516564608
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,1024,1024,175.44863000512123,26.640416650101542,383.7599608832688,221.27644444444445,401.673,238.477,10523.518135343314,5974.465106591702
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,2048,2048,348.2589912600816,62.62787497788668,414.2078430754386,250.9220714285714,562.527,398.246,26257.68823493552,15808.092316012146
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,128,128,59.66373672708869,3.356244445778429,347.912426984127,183.78657142857145,360.725,196.444,1380.8126428751948,643.253
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,256,256,91.28379402682184,6.775458498857915,357.6358513305322,193.38307142857144,378.784,214.233,2666.650512254238,1353.6817903614044
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,512,512,189.77644387632608,13.578499556984752,390.739655601462,226.3474285714286,407.604,242.563,5633.604818152189,3168.864443194866
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,1024,1024,345.1806930825114,31.92449508514256,416.5180327041584,251.99485937500003,520.138,354.986,13491.853715095043,8063.83639026475
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,128,128,25.899051688611507,3.925178668927401,308.36870833333336,147.234375,336.616,175.276,1393.104620099783,588.9375316936969
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,256,256,31.36764094233513,6.379525231663138,330.96115178571426,169.916,344.252,182.857,2310.786913738489,1104.4542326414585
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,512,512,49.34400087222457,12.732740658801047,351.7259721204722,190.6879615384616,560.993,399.707,4731.902055969476,2478.9437623035906
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,1024,1024,99.9573078006506,25.76828176621348,352.20756718002474,190.98413461538465,365.215,203.552,9316.951078914404,4965.588042112589
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,1,2048,2048,191.8736011721193,25.612595812883228,377.61735021233136,215.91965384615384,572.4090000000001,410.478,9977.83983551979,5613.911758208513
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,128,128,38.20148902013898,3.4301317860372365,321.5095714285714,159.57857142857145,340.724,178.793,1285.1901127655508,558.5250000000001
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,256,256,48.516706097871065,6.6917235837318,359.5140089285714,197.2970714285714,573.601,411.07,2676.6699928107264,1381.0797594468595
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,512,512,104.826251976192,13.402629300951958,359.0744130176976,196.6621851851852,441.18,278.38,5007.723111548662,2654.939738342047
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,1024,1024,175.51677813753486,22.8830096302554,377.4529288082022,214.72569565217387,398.697,235.575,8841.80890157938,4938.691849387646
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,2,2048,2048,348.8728879019618,62.815618484281,410.46134528371545,247.0515396825397,605.967,441.922,26019.824808607336,15564.249207953932
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,128,128,48.81494306027889,3.382390946149826,338.2536428571429,174.27014285714287,358.877,194.832,1344.9552799420358,609.9456363565921
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,256,256,91.3414228707552,6.782988120336086,374.3767888655462,210.4274285714285,488.478,324.433,2781.67017979908,1472.992479574442
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,512,512,173.42621460556984,13.632775264326485,393.8721872477356,229.80717857142847,517.5680000000001,353.254,5675.307337618113,3217.3009868109225
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,1024,1024,343.8235470093787,31.96460723085329,417.0481688729328,252.7635692307693,567.211,402.628,13715.272492481708,8214.817262754916
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,4,2048,2048,691.1799940280616,85.22924138093367,442.183760388025,277.0957426900585,565.418,399.43,37968.33606756567,23691.68908500004
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,8,128,128,102.1241368725896,3.396292993798852,365.2812857142857,199.56028571428573,389.91100000000006,223.923,1440.436142462969,698.4611029655933
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,8,256,256,173.6792321316898,6.976522512268275,401.5610980392157,235.7903333333333,416.731,250.743,3173.7340966780184,1768.427848606348
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,16,128,128,184.99092385172844,3.633635465055704,430.8637159090909,265.12362499999995,578.195,412.207,1885.436708365679,1060.4945982778072
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,16,256,256,340.86043713614345,8.709461668040603,446.6325126566416,280.825,624.001,457.413,4181.744173811437,2527.4254493708613
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,32,128,128,341.62592701613903,4.548046266660094,421.6257769230769,255.8292,454.28,288.292,2270.184448909521,1279.146262098074
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,1,torch.float16,32,256,256,673.5112881287932,11.89271574933082,457.0884274358974,291.36741666666666,565.364,399.107,5647.013932314872,3496.409642166138
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,1,128,128,25.76303575187921,3.443391267210245,452.1432142857143,347.1852142857143,515.164,410.164,1808.1277504737384,1309.240687797785
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,1,256,256,31.37169685214758,6.935666319914162,461.7960523809524,356.9645523809524,470.316,365.316,3457.6974811728005,2592.469306217909
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,1,512,512,48.88357734307647,14.542333667166533,466.89985779569895,362.159482795699,502.073,397.073,7231.502327690126,5529.080129433394
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,1,1024,1024,112.09072405472398,27.668998112902045,505.5445765491315,400.8419041353384,730.307,625.307,14392.117118720533,11329.163220510009
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,1,2048,2048,178.52330999448895,52.63609004486352,564.8599905056265,460.111833098219,786.649,681.649,30188.013789188863,24505.036366461754
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,2,128,128,38.10034599155188,3.3856810056604445,548.6436773809525,443.98141071428574,587.87,483.14,2181.5102856721883,1683.970248042822
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,2,256,256,51.615132950246334,6.736940338741988,562.3143230392157,457.7534333333333,730.5369999999999,625.752,4198.924359942436,3335.935823063612
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,2,512,512,111.00357165560126,13.3745475593023,569.0041868272214,464.3125661375661,633.861,529.131,7946.70243963623,6402.097764149189
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,2,torch.float16,2,1024,1024,174.45865971967578,26.8792954380624,596.0439744816587,491.3219393939394,733.815,628.869,16360.15311222744,13401.360287646294
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,1,128,128,26.547315064817667,3.4413445382378995,745.7087757936508,745.7087757936508,1071.148,1071.148,3166.442184998989,3166.442184998989
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,1,256,256,31.25339699909091,6.5676609221845865,754.3700593487395,754.3700593487395,1198.254,1198.254,5841.090190726758,5841.090190726758
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,1,512,512,59.72039885818958,1.9811379089951515,739.3786190476192,739.3786190476192,769.841,769.841,2404.028722157717,2404.028722157717
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,1,1024,1024,105.74467619881034,26.196867511142045,819.0035380462306,819.0035380462306,1285.933,1285.933,22307.63562264276,22307.63562264276
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Accelerate,NVIDIA A100-SXM4-40GB,4,torch.float16,1,2048,2048,185.09209109470248,22.83023985568434,880.1284197789431,880.1284197789431,1292.018,1292.018,20896.52731688094,20896.52731688094
